_གྱུར་_[100]   _གྱུར་_100   _གྱུར་_100   _གྱུར་_100   _གྱུར་_100   _གྱུར་_100
_ཏེ_[100]   _ཏེ_100   _ཏེ_100   _ཏེ_100   _ཏེ_100   _ཏེ_100
_། _[100]   _། _100   _། _100   _། _100   _། _100   _། _100
_སྐུ་_[100]   _སྐུ་_100   _སྐུ་_100   _སྐུ་_100   _སྐུ་_100   _སྐུ་_100
_མདོག་_[100]   _མདོག་_100   _མདོག་_100   _མདོག་_100   _མདོག་_100   _མདོག་_100
_མཐིང་_[100]   _མཐིང་_100   _མཐིང་_100   _མཐིང་_100   _མཐིང་_100   _མཐིང་_100
_ནག་_[100]   _ནག་_100   _ནག་_100   _ནག་_100   _ནག་_100   _ནག་_100
_ཧ་_[100]   _ཧ་_100   _ཧ་_100   _ཧ་_100   _ཧ་_100   _ཧ་_100
_ལ་_[100]   _ལ་_100   _ལ་_100   _ལ་_100   _ལ་_100   _ལ་_100
_པ_[100]   _པ_100   _པ_100   _པ_100   _པ_100   _པ_100
_།\n_[100]   _།\n_100   _།\n_100   _།\n_100   _།\n_100   _།\n_100
_ཞལ་_[100]   _ཞལ་_100   _ཞལ་_100   _ཞལ་_100   _ཞལ་_100   _ཞལ་_100
_བརྒྱ་_[100]   _བརྒྱ་_100   _བརྒྱ་_100   _བརྒྱ་_100   _བརྒྱ་_100   _བརྒྱ་_100
_ལྗགས་_[100]   _ལྗགས་_100   _ལྗགས་_100   _ལྗགས་_100   _ལྗགས་_100   _ལྗགས་_100
_འདྲིལ་_[100]   _འདྲིལ་_100   _འདྲིལ་_100   _འདྲིལ་_100   _འདྲིལ་_100   _འདྲིལ་_100
_ཞིང་_[100]   _ཞིང་_100   _ཞིང་_100   _ཞིང་_100   _ཞིང་_100   _ཞིང་_100
_ཧ་_[100]   _ཧ་_100   _ཧ་_100   _ཧ་_100   _ཧ་_100   _ཧ་_100
_ཧ་_[100]   _ཧ་_100   _ཧ་_100   _ཧ་_100   _ཧ་_100   _ཧ་_100
_ཏི་_58   _ཧི་_[91]   _ཧི་_91   _ཧི་_91   _ཧི་_91   _ཧི་_91
_ཧིའི་_[100]   _ཧིའི་_100   _ཧིའི་_100   _ཧིའི་_100   _ཧིའི་_100   _ཧིའི་_100
_གད་_[100]   _གད་_100   _གད་_100   _གད་_100   _གད་_100   _གད་_100
_རྒྱངས་_[100]   _རྒྱངས་_100   _རྒྱངས་_100   _རྒྱངས་_100   _རྒྱངས་_100   _རྒྱངས་_100
_ཕྱོགས་_[100]   _ཕྱོགས་_100   _ཕྱོགས་_100   _ཕྱོགས་_100   _ཕྱོགས་_100   _ཕྱོགས་_100
_བཅུར་_[100]   _བཅུར་_100   _བཅུར་_100   _བཅུར་_100   _བཅུར་_100   _བཅུར་_100
_སྒྲོགས་_[83]   _སྒྲོགས་ _58   _སྒྲོ_58   _སྒྲོགས་_83   _སྒྲོགས་_83   _སྒྲོགས་_83
_།_58   __[66]   _༐།_58   __66   __66   __66
__[83]   __83   _ས་_58   __83   __83   __83
_པ_[100]   _པ_100   _པ_100   _པ_100   _པ_100   _པ_100
_།\n_[100]   _།\n_100   _།\n_100   _།\n_100   _།\n_100   _།\n_100
_སྤྱན་_[100]   _སྤྱན་_100   _སྤྱན་_100   _སྤྱན་_100   _སྤྱན་_100   _སྤྱན་_100
_མིག་_[100]   _མིག་_100   _མིག་_100   _མིག་_100   _མིག་_100   _མིག་_100
_དམར་_[100]   _དམར་_100   _དམར་_100   _དམར་_100   _དམར་_100   _དམར་_100
_བོ་_58   _པོ་_[91]   _པོ་_91   _པོ་_91   _པོ་_91   _པོ་_91
_རྡོ་_[100]   _རྡོ་_100   _རྡོ་_100   _རྡོ་_100   _རྡོ་_100   _རྡོ་_100
_རྗེའི་_[100]   _རྗེའི་_100   _རྗེའི་_100   _རྗེའི་_100   _རྗེའི་_100   _རྗེའི་_100
_མིག་_[100]   _མིག་_100   _མིག་_100   _མིག་_100   _མིག་_100   _མིག་_100
_ཅན_[100]   _ཅན_100   _ཅན_100   _ཅན_100   _ཅན_100   _ཅན_100
_། _[100]   _། _100   _། _100   _། _100   _། _100   _། _100
_ལག་_[100]   _ལག་_100   _ལག་_100   _ལག་_100   _ལག་_100   _ལག་_100
_པ་_[100]   _པ་_100   _པ་_100   _པ་_100   _པ་_100   _པ་_100
_བརྒྱ་_[100]   _བརྒྱ་_100   _བརྒྱ་_100   _བརྒྱ་_100   _བརྒྱ་_100   _བརྒྱ་_100
_པོ་_[100]   _པོ་_100   _པོ་_100   _པོ་_100   _པོ་_100   _པོ་_100
_ཀུན་_[100]   _ཀུན་_100   _ཀུན་_100   _ཀུན་_100   _ཀུན་_100   _ཀུན་_100
_བསྐྱོད་_[100]   _བསྐྱོད་_100   _བསྐྱོད་_100   _བསྐྱོད་_100   _བསྐྱོད་_100   _བསྐྱོད་_100
_མཚོན་_[100]   _མཚོན་_100   _མཚོན་_100   _མཚོན་_100   _མཚོན་_100   _མཚོན་_100
_ཆ་_[100]   _ཆ་_100   _ཆ་_100   _ཆ་_100   _ཆ་_100   _ཆ་_100
_སྣ་་་\n_[66]   _སྣ་་་\n_66   _སྣ་\n_66   _སྣ་་\n_66   _སྣ་་\n_66   _སྣ་\n_66
_ཚོགས་_[100]   _ཚོགས་_100   _ཚོགས་_100   _ཚོགས་_100   _ཚོགས་_100   _ཚོགས་_100
_བསྣམས་_[100]   _བསྣམས་_100   _བསྣམས་_100   _བསྣམས་_100   _བསྣམས་_100   _བསྣམས་_100
_པ_[100]   _པ_100   _པ_100   _པ_100   _པ_100   _པ_100
_། _[100]   _། _100   _། _100   _། _100   _། _100   _། _100
_གོམ་_[100]   _གོམ་_100   _གོམ་_100   _གོམ་_100   _གོམ་_100   _གོམ་_100
_པའི་_[100]   _པའི་_100   _པའི་_100   _པའི་_100   _པའི་_100   _པའི་_100
_སྟབས་_[100]   _སྟབས་_100   _སྟབས་_100   _སྟབས་_100   _སྟབས་_100   _སྟབས་_100
_ཀྱིས་_[100]   _ཀྱིས་_100   _ཀྱིས་_100   _ཀྱིས་_100   _ཀྱིས་_100   _ཀྱིས་_100
_གདུག་_[100]   _གདུག་_100   _གདུག་_100   _གདུག་_100   _གདུག་_100   _གདུག་_100
_པ་_[100]   _པ་_100   _པ་_100   _པ་_100   _པ་_100   _པ་_100
_མནན་_[100]   _མནན་_100   _མནན་_100   _མནན་_100   _མནན་_100   _མནན་_100
_པ_[100]   _པ_100   _པ_100   _པ_100   _པ_100   _པ_100
_། _[100]   _། _100   _། _100   _། _100   _། _100   _། _100
_ཐོད་_[100]   _ཐོད་_100   _ཐོད་_100   _ཐོད་_100   _ཐོད་_100   _ཐོད་_100
_པ་_[100]   _པ་_100   _པ་_100   _པ་_100   _པ་_100   _པ་_100
_དང་\n་_58   _དང་_58   _དང་\n_58   _དང་་\n_[75]   _དང་་\n_75   _དང་་\n_75
__[83]   _།\n_58   __83   __83   __83   __83
_སྦྲུལ་_[100]   _སྦྲུལ་_100   _སྦྲུལ་_100   _སྦྲུལ་_100   _སྦྲུལ་_100   _སྦྲུལ་_100
_དང་_[100]   _དང་_100   _དང་_100   _དང་_100   _དང་_100   _དང་_100
_སྟག་_[100]   _སྟག་_100   _སྟག་_100   _སྟག་_100   _སྟག་_100   _སྟག་_100
_ལྤགས་_[100]   _ལྤགས་_100   _ལྤགས་_100   _ལྤགས་_100   _ལྤགས་_100   _ལྤགས་_100
_ཀྱིས་_[100]   _ཀྱིས་_100   _ཀྱིས་_100   _ཀྱིས་_100   _ཀྱིས་_100   _ཀྱིས་_100
_བརྒྱན་_[100]   _བརྒྱན་_100   _བརྒྱན་_100   _བརྒྱན་_100   _བརྒྱན་_100   _བརྒྱན་_100
_པ_[100]   _པ_100   _པ_100   _པ_100   _པ_100   _པ_100
_། _[100]   _། _100   _། _100   _། _100   _། _100   _། _100
_ཞིང་_[100]   _ཞིང་_100   _ཞིང་_100   _ཞིང་_100   _ཞིང་_100   _ཞིང་_100
_ཆེན་_[100]   _ཆེན་_100   _ཆེན་_100   _ཆེན་_100   _ཆེན་_100   _ཆེན་_100
_དང་_[100]   _དང་_100   _དང་_100   _དང་_100   _དང་_100   _དང་_100
_གླང་_[100]   _གླང་_100   _གླང་_100   _གླང་_100   _གླང་_100   _གླང་_100
_ཆེན་_[100]   _ཆེན་_100   _ཆེན་_100   _ཆེན་_100   _ཆེན་_100   _ཆེན་_100
_གྱི་_[100]   _གྱི་_100   _གྱི་_100   _གྱི་_100   _གྱི་_100   _གྱི་_100
_ཀོ་_[100]   _ཀོ་_100   _ཀོ་_100   _ཀོ་_100   _ཀོ་_100   _ཀོ་_100
_རློན་_[100]   _རློན་_100   _རློན་_100   _རློན་_100   _རློན་_100   _རློན་_100
_གྱོན་_[100]   _གྱོན་_100   _གྱོན་_100   _གྱོན་_100   _གྱོན་_100   _གྱོན་_100
_པ_[100]   _པ_100   _པ_100   _པ_100   _པ_100   _པ_100
_།\n_[100]   _།\n_100   _།\n_100   _།\n_100   _།\n_100   _།\n_100
_གཤིན་_[91]   _གཤིན་_91   _གཤིཞ་_40   _གཤིན་_91   _གཤིན་_91   _གཤིན་_91
_རྗེ་_[100]   _རྗེ་_100   _རྗེ་_100   _རྗེ་_100   _རྗེ་_100   _རྗེ་_100
_གཤེད་_[100]   _གཤེད་_100   _གཤེད་_100   _གཤེད་_100   _གཤེད་_100   _གཤེད་_100
_པོ་_[100]   _པོ་_100   _པོ་_100   _པོ་_100   _པོ་_100   _པོ་_100
_བགེགས་_[100]   _བགེགས་_100   _བགེགས་_100   _བགེགས་_100   _བགེགས་_100   _བགེགས་_100
_ཐམས་_[100]   _ཐམས་_100   _ཐམས་_100   _ཐམས་_100   _ཐམས་_100   _ཐམས་_100
_ཅད་_[100]   _ཅད་_100   _ཅད་_100   _ཅད་_100   _ཅད་_100   _ཅད་_100
_ཀྱི་_[100]   _ཀྱི་_100   _ཀྱི་_100   _ཀྱི་_100   _ཀྱི་_100   _ཀྱི་_100
_རྒྱལ་_[100]   _རྒྱལ་_100   _རྒྱལ་_100   _རྒྱལ་_100   _རྒྱལ་_100   _རྒྱལ་_100
_པོར་_[100]   _པོར་_100   _པོར་_100   _པོར་_100   _པོར་_100   _པོར་_100
_བསྐྱེད་_[100]   _བསྐྱེད་_100   _བསྐྱེད་_100   _བསྐྱེད་_100   _བསྐྱེད་_100   _བསྐྱེད་_100
_ལ_[100]   _ལ_100   _ལ_100   _ལ_100   _ལ_100   _ལ_100
_། _[91]   _། ། _58   _། _91   _། _91   _། _91   _། _91
_མིག་_[100]   _མིག་_100   _མིག་_100   _མིག་_100   _མིག་_100   _མིག་_100
_ཏུ་_[100]   _ཏུ་_100   _ཏུ་_100   _ཏུ་_100   _ཏུ་_100   _ཏུ་_100
_མ་_[100]   _མ་_100   _མ་_100   _མ་_100   _མ་_100   _མ་_100
_དང་\n_[100]   _དང་\n_100   _དང་\n_100   _དང་\n_100   _དང་\n_100   _དང་\n_100
_ཀ་_66   _ཀ་ _58   _ཀ་_66   _ཀ་་_[75]   _ཀ་་_75   _ཀ་་_75
_བྷེ་_40   __[83]   __83   __83   __83   __83
_བཀོད་_[100]   _བཀོད་_100   _བཀོད་_100   _བཀོད་_100   _བཀོད་_100   _བཀོད་_100
_དེ_[100]   _དེ_100   _དེ_100   _དེ_100   _དེ_100   _དེ_100
_། _[100]   _། _100   _། _100   _། _100   _། _100   _། _100
_ཉི་_[100]   _ཉི་_100   _ཉི་_100   _ཉི་_100   _ཉི་_100   _ཉི་_100
_མ་_[100]   _མ་_100   _མ་_100   _མ་_100   _མ་_100   _མ་_100
_དང་_[100]   _དང་_100   _དང་_100   _དང་_100   _དང་_100   _དང་_100
_ཟླ་_[100]   _ཟླ་_100   _ཟླ་_100   _ཟླ་_100   _ཟླ་_100   _ཟླ་_100
_བའི་_[100]   _བའི་_100   _བའི་_100   _བའི་_100   _བའི་_100   _བའི་_100
_དཀྱིལ་_[100]   _དཀྱིལ་_100   _དཀྱིལ་_100   _དཀྱིལ་_100   _དཀྱིལ་_100   _དཀྱིལ་_100
_ཀྱི་_58   _གྱི་_[91]   _གྱི་_91   _གྱི་_91   _གྱི་_91   _གྱི་_91
_རྡོ་_[100]   _རྡོ་_100   _རྡོ་_100   _རྡོ་_100   _རྡོ་_100   _རྡོ་_100
_རྗེ་_[100]   _རྗེ་_100   _རྗེ་_100   _རྗེ་_100   _རྗེ་_100   _རྗེ་_100
_སྔོན་_[100]   _སྔོན་_100   _སྔོན་_100   _སྔོན་_100   _སྔོན་_100   _སྔོན་_100
_པོ་_[100]   _པོ་_100   _པོ་_100   _པོ་_100   _པོ་_100   _པོ་_100
_མིག་_[100]   _མིག་_100   _མིག་_100   _མིག་_100   _མིག་_100   _མིག་_100
_འབྲས་_[100]   _འབྲས་_100   _འབྲས་_100   _འབྲས་_100   _འབྲས་_100   _འབྲས་_100
_སུ་_[100]   _སུ་_100   _སུ་_100   _སུ་_100   _སུ་_100   _སུ་_100
_བསམས་\n_[100]   _བསམས་\n_100   _བསམས་\n_100   _བསམས་\n_100   _བསམས་\n_100   _བསམས་\n_100
_ལ་_58   _ལ_[83]   _ལ_83   _ལ_83   _ལ_83   __16
_།་ _58   _༑ _[83]   _༑ _83   _༑ _83   _༑ _83   __16
_ཁྲོ་_[100]   _ཁྲོ་_100   _ཁྲོ་_100   _ཁྲོ་_100   _ཁྲོ་_100   _ཁྲོ་_100
_བོའི་_[100]   _བོའི་_100   _བོའི་_100   _བོའི་_100   _བོའི་_100   _བོའི་_100
_སྡང་_[100]   _སྡང་_100   _སྡང་_100   _སྡང་_100   _སྡང་_100   _སྡང་_100
_མིག་_[100]   _མིག་_100   _མིག་_100   _མིག་_100   _མིག་_100   _མིག་_100
_གཡོན་_[100]   _གཡོན་_100   _གཡོན་_100   _གཡོན་_100   _གཡོན་_100   _གཡོན་_100
_ནས་_[100]   _ནས་_100   _ནས་_100   _ནས་_100   _ནས་_100   _ནས་_100
_བསྐོར་_[100]   _བསྐོར་_100   _བསྐོར་_100   _བསྐོར་_100   _བསྐོར་_100   _བསྐོར་_100
_བས་_[91]   _ཅིབས་_58   _བས་_91   _བས་_91   _བས་_91   _བས་_91
_བགེགས་_[100]   _བགེགས་_100   _བགེགས་_100   _བགེགས་_100   _བགེགས་_100   _བགེགས་_100
_ཐམས་_[100]   _ཐམས་_100   _ཐམས་_100   _ཐམས་_100   _ཐམས་_100   _ཐམས་_100
_ཅད་_[100]   _ཅད་_100   _ཅད་_100   _ཅད་_100   _ཅད་_100   _ཅད་_100
_སྐྲག་_[100]   _སྐྲག་_100   _སྐྲག་_100   _སྐྲག་_100   _སྐྲག་_100   _སྐྲག་_100
_པར་\n_[100]   _པར་\n_100   _པར་\n_100   _པར་\n_100   _པར་\n_100   _པར་\n_100
_བྱའོ་_58   _བྱའོ_[83]   _བྱའོ_83   _བྱའོ_83   _བྱའོ_83   _ལ_58
_།་ །_58   _། །_58   _༑ །_[75]   _༑ །_75   _༑ །_75   _༑\n_58
__[83]   __83   __83   __83   __83   _བྱའོ_58
__[83]   __83   __83   __83   __83   _༑ །_58
_གཡས་_[100]   _གཡས་_100   _གཡས་_100   _གཡས་_100   _གཡས་_100   _གཡས་_100
_ནས་_[100]   _ནས་_100   _ནས་_100   _ནས་_100   _ནས་_100   _ནས་_100
_བསྐོར་_[100]   _བསྐོར་_100   _བསྐོར་_100   _བསྐོར་_100   _བསྐོར་_100   _བསྐོར་_100
_བས་_[100]   _བས་_100   _བས་_100   _བས་_100   _བས་_100   _བས་_100
_རྡོ་_[100]   _རྡོ་_100   _རྡོ་_100   _རྡོ་_100   _རྡོ་_100   _རྡོ་_100
_རྗེའི་_[100]   _རྗེའི་_100   _རྗེའི་_100   _རྗེའི་_100   _རྗེའི་_100   _རྗེའི་_100
_ར་_[100]   _ར་_100   _ར་_100   _ར་_100   _ར་_100   _ར་_100
_བའོ_[100]   _བའོ_100   _བའོ_100   _བའོ_100   _བའོ_100   _བའོ_100
_། །_[100]   _། །_100   _། །_100   _། །_100   _། །_100   _། །_100
_འོག་_[100]   _འོག་_100   _འོག་_100   _འོག་_100   _འོག་_100   _འོག་_100
_ཏུ་_[100]   _ཏུ་_100   _ཏུ་_100   _ཏུ་_100   _ཏུ་_100   _ཏུ་_100
_བལྟས་_[100]   _བལྟས་_100   _བལྟས་_100   _བལྟས་_100   _བལྟས་_100   _བལྟས་_100
_པས་_[100]   _པས་_100   _པས་_100   _པས་_100   _པས་_100   _པས་_100
_རྡོ་\n_[100]   _རྡོ་\n_100   _རྡོ་\n_100   _རྡོ་\n_100   _རྡོ་\n_100   _རྡོ་\n_100
_རྗེའི་_[100]   _རྗེའི་_100   _རྗེའི་_100   _རྗེའི་_100   _རྗེའི་_100   _རྗེའི་_100
